id,review,label
0,"Beautiful beach and turquoise water, perfect family vacation in Negril.",positive
1,Hotel staff in Bridgetown were friendly but the rooms were dated.,mixed
2,"The breakfast buffet had too few local options, more bake and shark please.",negative
3,"Wonderful weekend in Soufriere, the Pitons view from our room was unreal.",positive
4,AC was broken for two nights in Castries and no one came to fix it.,negative
5,"Carnival in Trinidad was a vibe, mas band well organised, fete every night.",positive
6,"Pricey but the service in Saint John, USVI was top tier, would return.",positive
7,Slow check in at Lynden Pindling airport but our Nassau resort made up for it.,mixed
8,"Loved the food in Roseau, Dominica is truly the nature isle.",positive
9,"Beach in Punta Cana was crowded, all inclusive food was bland.",negative
10,"Great snorkelling off Tobago Cays, our boat captain knew every reef.",positive
11,"Front desk in Willemstad spoke four languages effortlessly, big plus.",positive
12,Rooms in Half Moon Bay had lovely views but the pool was cold.,mixed
13,"Dinner at the local restaurant in San Juan was excellent, mofongo was perfect.",positive
14,Tour guide in Saint Vincent was knowledgeable and patient with kids.,positive
15,Heavy rain ruined our day in Anguilla but the hotel offered a free spa day.,mixed
16,Hotel in Holetown overpromised and underdelivered on the beachfront pitch.,negative
17,"Loved Junkanoo on Bay Street, energy and costumes were stunning.",positive
18,Conch fritters in Providenciales were the best I have ever had.,positive
19,"Slow service at the bar in Montego Bay, drinks took 25 minutes.",negative
20,Diving the Blue Hole in Belize was a once in a lifetime experience.,positive
21,Hotel charged us twice and took weeks to refund in Saint Lucia.,negative
22,Beach in Grand Anse was perfect for our honeymoon in Grenada.,positive
23,"Front desk in Aruba was kind, hot tub did not work both nights.",mixed
24,Pico Duarte hike was tough but our guide in Santo Domingo was excellent.,positive
25,"Old Havana was magical, the food was simple but the music made the trip.",positive
26,"Spent too much on excursions in Antigua, half the activities cancelled.",negative
27,"Loved Anegada's lobsters, BVI sailing was smooth and uncrowded.",positive
28,"Concierge in Hamilton, Bermuda was professional and discreet, will return.",positive
29,"Hotel WiFi in Basseterre was unusable, important emails missed.",negative
30,Rainforest hike in Saint Lucia made up for the rain.,positive
31,Bay Gardens Hotel in Castries was clean and the breakfast was hearty.,positive
32,"Booked an overwater bungalow but ours was a regular room, disappointing.",negative
33,Local guide in Suriname showed us a side of Paramaribo I did not expect.,positive
34,"Dinner in Holetown was delicious, the macaroni pie was perfect.",positive
