country,phrase
Jamaica,Wah gwaan? Mi deh yah enuh.
Jamaica,"Likkle more, mi soon come back."
Jamaica,"Mi nah lie, di pickney dem hungry."
Trinidad and Tobago,Allyuh ready for de fete tonight?
Trinidad and Tobago,I going to lime in Maracas later.
Trinidad and Tobago,"Doh dotish nah, drive careful."
Barbados,Wuh part yuh deh? Lewwe go down by de gap.
Barbados,"Cheese on bread, this rain ent stopping."
Saint Lucia,"Sa ka fèt? Mwen byen, mèsi."
Saint Lucia,Annou alé bò lanmè.
Dominica,Sa ka rivé? Tout bagay anlè.
Grenada,Whey yuh going? Down by de fish fry.
Saint Vincent and the Grenadines,Yuh good? Tek time wid de road.
Antigua and Barbuda,Wha gwan dey? Me gone home now.
Saint Kitts and Nevis,"Wha appenin nuh, mi deh yah."
Bahamas,Wha goin on bey? Sip sip running heavy.
Belize,Weh di go aan? Da how yu di du?
Guyana,"Banna, awee going downtown lata."
Suriname,Fa waka? Mi e go na wowoyo.
Haiti,"Sak pase? N ap boule, mèsi."
Dominican Republic,"Que lo que? Manín, todo bien."
Cuba,"Asere, que volá? Todo bien aquí."
Puerto Rico,"Wepa, brutal el concierto anoche."
Aruba,"Bon dia, con ta bay? Mi ta bon."
Curaçao,"Bon bini, kon ta bai? Hopi bon."
British Virgin Islands,"Wha goin on, bey? Just liming."
United States Virgin Islands,"Wha goin on cuz, just bambye."
Bermuda,"Innit nice today, bie? Goin tarn now."
Cayman Islands,"Wha goin on bro, jus chillin."
Turks and Caicos,"Wassup my dear, all good."
